,source,destination,mixed_string,semantic_proximity
7195,Mummy,Frog,FMgmmoruy,0.32230944807870177
7196,Mummy,Milk,MMiklmmuy,0.2747000905130273
7197,Mummy,Gangster,GMaegmmnrstuy,0.23405659444163168
7198,Mummy,Spurs,MSmmprsuuy,0.059749582124446435
7199,Mummy,Step,MSemmptuy,0.1231814112468939
7581,Kung Fu,Drum, DFKgmnruuu,0.1852411074688138
7582,Kung Fu,Nose, FKNegnosuu,0.09559127886828853
7583,Kung Fu,Anchor, AFKcghnnoruu,-0.008894495418098992
7584,Kung Fu,Shoulder, FKSdeghlnoruuu,0.08604737546080805
7585,Kung Fu,Spirit, FKSgiinprtuu,0.21883256499806525
7586,Kung Fu,Book, BFKgknoouu,0.13113005470163722
7587,Kung Fu,Kick, FKKcgiknuu,0.2894378843805633
7588,Kung Fu,Boss, BFKgnossuu,0.22075408868804736
7589,Kung Fu,Rope, FKRegnopuu,0.1965108532187017
7590,Kung Fu,Avalanche, AFKaaceghlnnuuv,0.08066947270372969
7591,Kung Fu,Sheet, FKSeeghntuu,0.04526267063188372
7592,Kung Fu,Tuxedo, FKTdegnouuux,0.12841575578294717
7593,Kung Fu,Shampoo, FKSaghmnoopuu,0.09235199765514515
7594,Kung Fu,Frog, FFKggnoruu,0.26691610997585574
7595,Kung Fu,Milk, FKMgiklnuu,0.12712570244896174
7596,Kung Fu,Gangster, FGKaeggnnrstuu,0.40313579768966057
7597,Kung Fu,Spurs, FKSgnprsuuu,0.0899551282836651
7598,Kung Fu,Step, FKSegnptuu,0.14387427448934886
7599,Kung Fu,Mummy, FKMgmmnuuuy,0.25820596790491973
7980,Wedding,Drum,DWddegimnru,0.16359537169498187
7981,Wedding,Nose,NWddeeginos,0.13880080726755653
7982,Wedding,Anchor,AWcddeghinnor,0.15286867586785902
7983,Wedding,Shoulder,SWdddeeghilnoru,0.2190893761547699
7984,Wedding,Spirit,SWddegiiinprt,0.18899312279882519
7985,Wedding,Book,BWddegiknoo,0.2812144564130089
7986,Wedding,Kick,KWcddegiikn,0.15167504404720059
7987,Wedding,Boss,BWddeginoss,0.15793525959025972
7988,Wedding,Rope,RWddeeginop,0.1930188174011797
7989,Wedding,Avalanche,AWaacddeeghilnnv,0.09151091716385949
7990,Wedding,Sheet,SWddeeeghint,0.16383785206555804
7991,Wedding,Tuxedo,TWdddeeginoux,0.4643308225898628
7992,Wedding,Shampoo,SWaddeghimnoop,0.13032637194516072
7993,Wedding,Frog,FWddegginor,0.2168615478160387
7994,Wedding,Milk,MWddegiikln,0.14369538626167122
7995,Wedding,Gangster,GWaddeegginnrst,0.13493131591086846
7996,Wedding,Spurs,SWddeginprsu,0.08923562187648093
7997,Wedding,Step,SWddeeginpt,0.22174803859198206
7998,Wedding,Mummy,MWddegimmnuy,0.1962300466530826
7999,Wedding,Kung Fu, FKWddegginnuu,0.12216491720880855
8379,Minotaur,Drum,DMaimnorrtuu,0.07960230517646734
8380,Minotaur,Nose,MNaeinoorstu,0.01611653423737322
8381,Minotaur,Anchor,AMachinnoorrtu,-0.027354308091661898
8382,Minotaur,Shoulder,MSadehilnoorrtuu,0.09210882509075716
8383,Minotaur,Spirit,MSaiiinoprrttu,0.08662552547846648
8384,Minotaur,Book,BMaiknooortu,0.035249808543119175
8385,Minotaur,Kick,KMaciiknortu,0.0716349464491607
8386,Minotaur,Boss,BMainoorsstu,0.2111390650660585
8387,Minotaur,Rope,MRaeinooprtu,0.07885602203533762
8388,Minotaur,Avalanche,AMaaacehilnnortuv,-0.0019845263653406353
8389,Minotaur,Sheet,MSaeehinorttu,0.0016841156465080525
8390,Minotaur,Tuxedo,MTadeinoortuux,0.13355481321445067
8391,Minotaur,Shampoo,MSaahimnoooprtu,0.09478244440381962
8392,Minotaur,Frog,FMaginoorrtu,0.30333159308104285
8393,Minotaur,Milk,MMaiiklnortu,0.02967307621554342
8394,Minotaur,Gangster,GMaaeginnorrsttu,0.19952367879571858
8395,Minotaur,Spurs,MSainoprrstuu,0.09564373061997003
8396,Minotaur,Step,MSaeinoprttu,-0.02131996243969466
8397,Minotaur,Mummy,MMaimmnortuuy,0.24679391017673258
8398,Minotaur,Kung Fu, FKMaginnortuuu,0.11421577069098252
8399,Minotaur,Wedding,MWaddegiinnortu,0.0005283543462684881
8778,Sleep,Drum,DSeelmpru,0.14452039955557253
8779,Sleep,Nose,NSeeelops,0.29798273668089326
8780,Sleep,Anchor,ASceehlnopr,0.150636194984042
8781,Sleep,Shoulder,SSdeeehllopru,0.3055907963902073
8782,Sleep,Spirit,SSeeiilpprt,0.26178466976538756
8783,Sleep,Book,BSeekloop,0.2195255842777683
8784,Sleep,Kick,KSceeiklp,0.263408673611303
8785,Sleep,Boss,BSeelopss,0.1947507573057796
8786,Sleep,Rope,RSeeelopp,0.17122536292473356
8787,Sleep,Avalanche,ASaaceeehllnpv,0.06625744734564645
8788,Sleep,Sheet,SSeeeehlpt,0.17326441111299992
8789,Sleep,Tuxedo,STdeeelopux,0.06496847525007031
8790,Sleep,Shampoo,SSaeehlmoopp,0.24540526947671068
8791,Sleep,Frog,FSeeglopr,0.240194336799885
8792,Sleep,Milk,MSeeikllp,0.3205064824006433
8793,Sleep,Gangster,GSaeeeglnprst,0.06892936827605634
8794,Sleep,Spurs,SSeelpprsu,0.05841203581483383
8795,Sleep,Step,SSeeelppt,0.287053420643757
8796,Sleep,Mummy,MSeelmmpuy,0.35802374427369227
8797,Sleep,Kung Fu, FKSeeglnpuu,0.1413605951015093
8798,Sleep,Wedding,SWddeeegilnp,0.13623581330706425
8799,Sleep,Minotaur,MSaeeilnoprtu,0.01941109780225857
9177,Eden,Drum,DEdemnru,0.08803239004883928
9178,Eden,Nose,ENdeenos,0.03778580841367692
9179,Eden,Anchor,AEcdehnnor,0.042647113605318566
9180,Eden,Shoulder,ESddeehlnoru,0.03249501366037543
9181,Eden,Spirit,ESdeiinprt,0.1583335398634564
9182,Eden,Book,BEdeknoo,0.11157363126219444
9183,Eden,Kick,EKcdeikn,0.015804690980827575
9184,Eden,Boss,BEdenoss,0.12883924392971674
9185,Eden,Rope,ERdeenop,0.058579169197904256
9186,Eden,Avalanche,AEaacdeehlnnv,0.17439469960565218
9187,Eden,Sheet,ESdeeehnt,0.0453842060784803
9188,Eden,Tuxedo,ETddeenoux,0.13197231107449242
9189,Eden,Shampoo,ESadehmnoop,0.13376710162219582
9190,Eden,Frog,EFdegnor,0.1466012758363599
9191,Eden,Milk,EMdeikln,0.12386110427982486
9192,Eden,Gangster,EGadeegnnrst,0.08221428161549964
9193,Eden,Spurs,ESdenprsu,0.07506581778646369
9194,Eden,Step,ESdeenpt,0.0439544101566632
9195,Eden,Mummy,EMdemmnuy,0.23522617032019646
9196,Eden,Kung Fu, EFKdegnnuu,0.16884985471322517
9197,Eden,Wedding,EWdddeeginn,0.22959733055665418
9198,Eden,Minotaur,EMadeinnortu,0.2025742650635691
9199,Eden,Sleep,ESdeeelnp,0.16127143250115858
9576,Boxer,Drum,BDemorrux,0.11522269438336395
9577,Boxer,Nose,BNeeoorsx,0.23059224577792317
9578,Boxer,Anchor,ABcehnoorrx,0.12414273102307696
9579,Boxer,Shoulder,BSdeehloorrux,0.2047588969956376
9580,Boxer,Spirit,BSeiioprrtx,0.1457981143561596
9581,Boxer,Book,BBekooorx,0.07686031493609553
9582,Boxer,Kick,BKceikorx,0.23176353056138443
9583,Boxer,Boss,BBeoorssx,0.25065106758070804
9584,Boxer,Rope,BReeooprx,0.22485593758744735
9585,Boxer,Avalanche,ABaaceehlnorvx,0.08511327273961007
9586,Boxer,Sheet,BSeeehortx,0.08156772809967534
9587,Boxer,Tuxedo,BTdeeooruxx,0.33755361014090074
9588,Boxer,Shampoo,BSaehmoooprx,0.14068905295648307
9589,Boxer,Frog,BFegoorrx,0.25767115072032387
9590,Boxer,Milk,BMeiklorx,0.125763412164239
9591,Boxer,Gangster,BGaeegnorrstx,0.3629933384297386
9592,Boxer,Spurs,BSeoprrsux,0.14046941719648248
9593,Boxer,Step,BSeeoprtx,0.09827208406071185
9594,Boxer,Mummy,BMemmoruxy,0.18917557472752541
9595,Boxer,Kung Fu, BFKegnoruux,0.30860984925479007
9596,Boxer,Wedding,BWddeeginorx,0.1329241326784774
9597,Boxer,Minotaur,BMaeinoorrtux,0.1444446778551978
9598,Boxer,Sleep,BSeeeloprx,0.14919356672028802
9599,Boxer,Eden,BEdeenorx,0.07524376644645066
9975,Homer,Drum,DHemmorru,0.0756258802311413
9976,Homer,Nose,HNeemoors,0.16568672638339463
9977,Homer,Anchor,AHcehmnoorr,0.15958723008409217
9978,Homer,Shoulder,HSdeehlmoorru,0.13611174263041578
9979,Homer,Spirit,HSeiimoprrt,0.11396247734265312
9980,Homer,Book,BHekmooor,0.0684017878126304
9981,Homer,Kick,HKceikmor,0.24191164860346012
9982,Homer,Boss,BHemoorss,0.11741064611359128
9983,Homer,Rope,HReemoopr,0.1233206137504406
9984,Homer,Avalanche,AHaaceehlmnorv,0.0978667791954671
9985,Homer,Sheet,HSeeehmort,0.058832597216805387
9986,Homer,Tuxedo,HTdeemoorux,0.06449195970906832
9987,Homer,Shampoo,HSaehmmooopr,0.023742547365967714
9988,Homer,Frog,FHegmoorr,0.13535890692064856
9989,Homer,Milk,HMeiklmor,0.07852421755541376
9990,Homer,Gangster,GHaeegmnorrst,0.12948175642697368
9991,Homer,Spurs,HSemoprrsu,0.14536015744895328
9992,Homer,Step,HSeemoprt,0.08552853640814287
9993,Homer,Mummy,HMemmmoruy,0.142182751205895
9994,Homer,Kung Fu, FHKegmnoruu,0.07371750310134809
9995,Homer,Wedding,HWddeegimnor,0.07634861382990767
9996,Homer,Minotaur,HMaeimnoorrtu,0.14140279450479562
9997,Homer,Sleep,HSeeelmopr,0.10388550710260286
9998,Homer,Eden,EHdeemnor,0.1629282179469657
9999,Homer,Boxer,BHeemoorrx,0.13226044827208208
10374,Peach,Drum,DPacehmru,0.1174194084326625
10375,Peach,Nose,NPaceehos,0.39576475600895117
10376,Peach,Anchor,APaccehhnor,0.061553857325912106
10377,Peach,Shoulder,PSacdeehhloru,0.22175483904512241
10378,Peach,Spirit,PSacehiiprt,0.1946079694679343
10379,Peach,Book,BPacehkoo,0.06706996931499311
10380,Peach,Kick,KPaccehik,0.19412882353263
10381,Peach,Boss,BPacehoss,0.08204473432643551
10382,Peach,Rope,PRaceehop,0.18450610389364236
10383,Peach,Avalanche,APaaacceehhlnv,0.11104892808790538
10384,Peach,Sheet,PSaceeehht,0.15796813887464842
10385,Peach,Tuxedo,PTacdeehoux,0.2947708102185642
10386,Peach,Shampoo,PSaacehhmoop,0.2655255455062283
10387,Peach,Frog,FPaceghor,0.3570428455304543
10388,Peach,Milk,MPacehikl,0.4324368124774747
10389,Peach,Gangster,GPaaceeghnrst,0.055094794600460045
10390,Peach,Spurs,PSacehprsu,0.043085864086933684
10391,Peach,Step,PSaceehpt,0.07245103522983569
10392,Peach,Mummy,MPacehmmuy,0.19832930772974508
10393,Peach,Kung Fu, FKPaceghnuu,0.13597611077401162
10394,Peach,Wedding,PWacddeeghin,0.26583842580881384
10395,Peach,Minotaur,MPaacehinortu,0.09209686638155698
10396,Peach,Sleep,PSaceeehlp,0.14048273533797384
10397,Peach,Eden,EPacdeehn,0.26631913591522305
10398,Peach,Boxer,BPaceehorx,0.15290246445097688
10399,Peach,Homer,HPaceehmor,0.1769941762379701
10773,Waitress,Drum,DWaeimrrsstu,0.053690128131977405
10774,Waitress,Nose,NWaeeiorssst,0.1430361168418006
10775,Waitress,Anchor,AWacehinorrsst,0.1041611863428046
10776,Waitress,Shoulder,SWadeehilorrsstu,0.17355104940303087
10777,Waitress,Spirit,SWaeiiiprrsstt,0.12914112917155507
